order_id,customer_id,customer_name,product1,product2,product3,order_date,state,city
OD001,CUST0003,Hussain,Fish,Salt,Biscuit,30-04-2025,Tamil Nadu,Chennai
OD002,CUST0007,Ram,NULL,Chicken,Butter,10-06-2025,Tamil Nadu,Madurai
OD003,CUST0007,Ram,Lays,Oil,NULL,21-05-2025,Tamil Nadu,Salem
OD004,CUST0003,Hussain,Coke,Paneer,Sugar,14-06-2025,Tamil Nadu,Madurai
OD005,CUST0005,Ajay,Wheat Flour,NULL,Horlicks,01-02-2025,Tamil Nadu,Chennai
OD006,CUST0001,Harish,Milk,Bread,Butter,12-03-2025,Tamil Nadu,Salem
OD007,CUST0004,Meena,Pepsi,NULL,Red Chili Powder,05-07-2025,Tamil Nadu,Coimbatore
OD008,CUST0009,Ravi,Rice,Oil,Sugar,25-01-2025,Tamil Nadu,Madurai
OD009,CUST0010,Kiran,NULL,Eggs,Milk,17-05-2025,Tamil Nadu,Chennai
OD010,CUST0002,Sudha,Biscuit,Horlicks,NULL,30-03-2025,Tamil Nadu,Madurai
OD011,CUST0006,Priya,Lays,Pepsi,Bread,15-07-2025,Tamil Nadu,Chennai
OD012,CUST0008,Anita,Paneer,Coke,NULL,02-05-2025,Tamil Nadu,Salem
OD013,CUST0005,Ajay,Wheat Flour,Oil,Milk,25-06-2025,Tamil Nadu,Coimbatore
OD014,CUST0010,Kiran,Fish,Biscuit,NULL,11-08-2025,Tamil Nadu,Madurai
OD015,CUST0001,Harish,Rice,Salt,Sugar,18-02-2025,Tamil Nadu,Tiruchirappalli
OD016,CUST0009,Ravi,Horlicks,NULL,Boost,22-03-2025,Tamil Nadu,Madurai
OD017,CUST0002,Sudha,Bread,Butter,Paneer,09-01-2025,Tamil Nadu,Coimbatore
OD018,CUST0007,Ram,Pepsi,Coke,NULL,03-06-2025,Tamil Nadu,Madurai
OD019,CUST0004,Meena,Chicken,NULL,Eggs,28-07-2025,Tamil Nadu,Chennai
OD020,CUST0003,Hussain,Turmeric Powder,NULL,Red Chili Powder,24-02-2025,Tamil Nadu,Coimbatore
OD021,CUST0008,Anita,Milk,NULL,Bread,06-03-2025,Tamil Nadu,Salem
OD022,CUST0006,Priya,Boost,Horlicks,Biscuit,25-05-2025,Tamil Nadu,Chennai
OD023,CUST0010,Kiran,NULL,Fish,Rice,07-04-2025,Tamil Nadu,Tiruchirappalli
OD024,CUST0001,Harish,Bread,NULL,Butter,09-07-2025,Tamil Nadu,Coimbatore
OD025,CUST0009,Ravi,Pepsi,Lays,NULL,19-06-2025,Tamil Nadu,Coimbatore
OD026,CUST0007,Ram,Paneer,Sugar,Oil,05-08-2025,Tamil Nadu,Coimbatore
OD027,CUST0003,Hussain,Wheat Flour,Rice,NULL,30-01-2025,Tamil Nadu,Salem
OD028,CUST0005,Ajay,NULL,Eggs,Milk,18-03-2025,Tamil Nadu,Tiruchirappalli
OD029,CUST0002,Sudha,Horlicks,NULL,Boost,12-05-2025,Tamil Nadu,Coimbatore
OD030,CUST0004,Meena,Coke,NULL,Pepsi,21-06-2025,Tamil Nadu,Chennai
OD031,CUST0006,Priya,Butter,Bread,NULL,02-04-2025,Tamil Nadu,Tiruchirappalli
OD032,CUST0008,Anita,Fish,NULL,Chicken,10-02-2025,Tamil Nadu,Tiruchirappalli
OD033,CUST0010,Kiran,Rice,Wheat Flour,NULL,27-03-2025,Tamil Nadu,Salem
OD034,CUST0001,Harish,NULL,Milk,Paneer,18-07-2025,Tamil Nadu,Coimbatore
OD035,CUST0009,Ravi,Oil,Salt,Sugar,01-06-2025,Tamil Nadu,Salem
OD036,CUST0007,Ram,Biscuit,NULL,Horlicks,06-05-2025,Tamil Nadu,Madurai
OD037,CUST0003,Hussain,Pepsi,Lays,Bread,30-07-2025,Tamil Nadu,Salem
OD038,CUST0005,Ajay,Boost,NULL,Horlicks,11-04-2025,Tamil Nadu,Chennai
OD039,CUST0002,Sudha,Butter,Paneer,NULL,20-02-2025,Tamil Nadu,Madurai
